Year,Number (thousands),Lowest Quintile,Second Quintile,Third Quintile,Fourth Quintile,Top 5 Percent
2014,124587,21432,41186,68212,112262,206568
2013,123931,21344,41707,68300,112036,208485
2013,122952,21242,40845,66573,107643,199207
2012,122459,21240,41002,66592,107336,197107
2011,121084,21329,40549,65722,106932,195795
2010,119927,21717,41263,66780,108617,195981
2009,117538,22568,42537,68193,110343,198618
2008,117181,22775,42884,68972,110223,197926
2007,116783,23169,44645,70793,114183,202103
2006,116011,23525,44354,70452,113936,204326
2005,114384,23249,43642,69899,111171,201237
2004,113343,23169,43459,69222,110296,196964
2003,112000,23149,43765,70092,111815,198382
2002,111278,23576,43922,69957,110559,197392
2001,109297,24029,44547,70870,111654,201244
2000,108209,24635,45365,71724,112404,199634
1999,106434,24356,45369,71612,112615,201829
1998,103874,23394,44140,70165,108869,191898
1997,102528,22657,42960,67677,105193,186185
1996,101018,22197,41724,66142,102228,179672
1995,99627,22230,41548,64839,100533,174440
1994,98990,21225,39839,63394,99346,173617
1993,97107,20928,39830,62609,97319,168879
1992,96426,20838,39923,62680,95934,163762
1991,95669,21351,40698,62862,96250,163471
1990,94312,21968,41585,63620,97020,166515
1989,93347,22306,42415,65189,99047,169198
1988,92830,21895,41359,64455,97324,164743
1987,91124,21538,40882,63817,96449,161392
1986,89479,21126,40408,62713,94799,158965
1985,88458,20866,39259,60818,91469,151135
1984,86789,20625,38601,59471,89837,148716
1983,85290,20237,37629,57753,87280,143598
1982,83918,19793,37645,57519,85772,141585
1981,83527,20048,37478,57967,85701,137921
1980,82368,20463,38376,58833,86143,138630
1979,80776,21300,39557,60860,88243,142589
1978,77330,21048,39797,60215,87576,140103
1977,76030,20412,38447,58603,85437,135275
1976,74142,20455,38110,58055,83525,132459
1975,72867,20012,37558,56753,81487,128590
1974,71163,21050,39046,57697,83736,132536
1973,69859,20949,40283,59602,85816,137929
1972,68251,20503,39488,58362,83533,134437
1971,66676,19815,37773,55585,79259,125865
1970,64778,20073,38454,55931,79798,126139
1969,63401,20417,39177,56659,79383,124500
1968,62214,19824,37584,53870,75693,118419
1967,60813,18599,36268,51476,73404,117793
